"Cтатус","Количество"
"Active","https://peps.python.org//pep-0001","PEP 1 – PEP Purpose and Guidelines"
"Superseded","https://peps.python.org//pep-0002","PEP 2 – Procedure for Adding New Modules"
"Withdrawn","https://peps.python.org//pep-0003","PEP 3 – Guidelines for Handling Bug Reports"
"Active","https://peps.python.org//pep-0004","PEP 4 – Deprecation of Standard Modules"
"Active","https://peps.python.org//pep-0005","PEP 5 – Guidelines for Language Evolution"
"Active","https://peps.python.org//pep-0006","PEP 6 – Bug Fix Releases"
"Active","https://peps.python.org//pep-0007","PEP 7 – Style Guide for C Code"
"Active","https://peps.python.org//pep-0008","PEP 8 – Style Guide for Python Code"
"Withdrawn","https://peps.python.org//pep-0009","PEP 9 – Sample Plaintext PEP Template"
"Active","https://peps.python.org//pep-0010","PEP 10 – Voting Guidelines"
"Active","https://peps.python.org//pep-0011","PEP 11 – CPython platform support"
"Active","https://peps.python.org//pep-0012","PEP 12 – Sample reStructuredText PEP Template"
"Active","https://peps.python.org//pep-0013","PEP 13 – Python Language Governance"
"Active","https://peps.python.org//pep-0020","PEP 20 – The Zen of Python"
"Withdrawn","https://peps.python.org//pep-0042","PEP 42 – Feature Requests"
"Final","https://peps.python.org//pep-0100","PEP 100 – Python Unicode Integration"
"Active","https://peps.python.org//pep-0101","PEP 101 – Doing Python Releases 101"
"Superseded","https://peps.python.org//pep-0102","PEP 102 – Doing Python Micro Releases"
"Withdrawn","https://peps.python.org//pep-0103","PEP 103 – Collecting information about git"
"Final","https://peps.python.org//pep-0160","PEP 160 – Python 1.6 Release Schedule"
"Final","https://peps.python.org//pep-0200","PEP 200 – Python 2.0 Release Schedule"
"Final","https://peps.python.org//pep-0201","PEP 201 – Lockstep Iteration"
"Final","https://peps.python.org//pep-0202","PEP 202 – List Comprehensions"
"Final","https://peps.python.org//pep-0203","PEP 203 – Augmented Assignments"
"Rejected","https://peps.python.org//pep-0204","PEP 204 – Range Literals"
"Final","https://peps.python.org//pep-0205","PEP 205 – Weak References"
"Withdrawn","https://peps.python.org//pep-0206","PEP 206 – Python Advanced Library"
"Final","https://peps.python.org//pep-0207","PEP 207 – Rich Comparisons"
"Final","https://peps.python.org//pep-0208","PEP 208 – Reworking the Coercion Model"
"Withdrawn","https://peps.python.org//pep-0209","PEP 209 – Multi-dimensional Arrays"
"Rejected","https://peps.python.org//pep-0210","PEP 210 – Decoupling the Interpreter Loop"
"Rejected","https://peps.python.org//pep-0211","PEP 211 – Adding A New Outer Product Operator"
"Rejected","https://peps.python.org//pep-0212","PEP 212 – Loop Counter Iteration"
"Deferred","https://peps.python.org//pep-0213","PEP 213 – Attribute Access Handlers"
"Final","https://peps.python.org//pep-0214","PEP 214 – Extended Print Statement"
"Superseded","https://peps.python.org//pep-0215","PEP 215 – String Interpolation"
"Rejected","https://peps.python.org//pep-0216","PEP 216 – Docstring Format"
"Final","https://peps.python.org//pep-0217","PEP 217 – Display Hook for Interactive Use"
"Final","https://peps.python.org//pep-0218","PEP 218 – Adding a Built-In Set Object Type"
"Deferred","https://peps.python.org//pep-0219","PEP 219 – Stackless Python"
"Rejected","https://peps.python.org//pep-0220","PEP 220 – Coroutines, Generators, Continuations"
"Final","https://peps.python.org//pep-0221","PEP 221 – Import As"
"Deferred","https://peps.python.org//pep-0222","PEP 222 – Web Library Enhancements"
"Final","https://peps.python.org//pep-0223","PEP 223 – Change the Meaning of \x Escapes"
"Rejected","https://peps.python.org//pep-0224","PEP 224 – Attribute Docstrings"
"Rejected","https://peps.python.org//pep-0225","PEP 225 – Elementwise/Objectwise Operators"
"Final","https://peps.python.org//pep-0226","PEP 226 – Python 2.1 Release Schedule"
"Final","https://peps.python.org//pep-0227","PEP 227 – Statically Nested Scopes"
"Withdrawn","https://peps.python.org//pep-0228","PEP 228 – Reworking Python’s Numeric Model"
"Final","https://peps.python.org//pep-0229","PEP 229 – Using Distutils to Build Python"
"Final","https://peps.python.org//pep-0230","PEP 230 – Warning Framework"
"Rejected","https://peps.python.org//pep-0231","PEP 231 – __findattr__()"
"Final","https://peps.python.org//pep-0232","PEP 232 – Function Attributes"
"Deferred","https://peps.python.org//pep-0233","PEP 233 – Python Online Help"
"Final","https://peps.python.org//pep-0234","PEP 234 – Iterators"
